Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
261.2291 46.04381 -25.14725 27.87938
265.9383 46.07119 -30.17812 29.46983
252.5339 43.26135 -29.85472 20.3593
250.5877 41.27776 -38.37026 22.8794
253.3561 40.15746 -28.96416 22.52193
256.9873 41.63656 -36.03238 18.58508
256.0961 41.50458 -35.9237 21.53651
259.8667 46.98772 -25.69592 32.06845
261.0615 43.67613 -25.02422 20.97242
250.1851 30.31407 -39.38884 22.92692
244.2822 42.43905 -37.08876 11.73644
258.5706 52.07161 -20.2248 27.74925
263.4096 55.43798 -18.18161 41.47505
281.6551 62.62048 -7.493823 37.15389
290.2282 76.68615 7.653983 65.26846
294.0907 79.87886 4.846603 53.3682
286.1859 69.53577 2.177183 60.8186
274.0305 68.13261 -10.63411 38.49828
272.269 60.87516 -11.71071 39.14525
286.1268 73.62605 -5.214292 52.41404
288.4125 82.07042 6.406078 67.24366
315.9825 98.85674 20.9844 77.15588
311.7431 98.25841 22.26058 74.43723
315.7233 96.0183 31.83548 83.08359
319.754 106.5346 32.72966 84.18968
314.8446 106.7307 34.42407 91.18815
306.299 93.38958 20.01156 82.44402
308.5776 95.48915 19.22724 71.91461
298.9047 88.83607 7.722323 67.51509
299.0675 79.1903 16.44056 73.67568
307.1733 89.81157 15.70468 76.55717
314.7732 99.51026 25.44814 77.14408
320.0131 99.98981 32.46566 88.76875
328.0802 113.5826 37.13058 89.36123
306.8445 97.433 27.5699 79.12834
323.5069 105.973 36.84398 88.14463
311.5954 96.42827 28.4009 86.86336
308.2119 95.64233 20.57431 77.2231
329.0676 111.1114 41.66012 97.35314
312.6918 99.22944 27.19531 88.56714
320.6436 104.0746 28.05632 87.28679
316.0846 92.2171 26.81179 75.85137
303.7294 88.13599 15.77978 79.66874
314.3465 101.5331 28.09567 77.26553
318.3962 102.6427 34.77183 78.42535
302.2299 89.96728 24.63732 72.9459
313.2651 94.90872 28.9433 76.80832
305.7066 91.20001 18.86033 71.91873
303.874 92.03995 19.24269 81.20675
310.8785 99.05775 20.13652 78.07264
293.6461 79.6938 11.37081 65.19026
309.1516 96.75038 24.15934 76.52846
306.8812 95.82359 27.16436 79.96594
302.8336 99.31674 20.31088 69.03422
308.8694 97.92791 23.87968 74.0676
303.608 91.81557 19.02988 65.83339
306.9491 92.88083 24.06232 76.14252
306.5988 100.3378 20.55865 83.83627
305.0162 90.36276 18.08219 69.46742
314.4938 93.6654 28.39739 84.31221
312.8331 94.90219 22.76977 77.35041
312.4542 104.1337 23.28271 83.45646
311.2186 94.88646 21.28039 78.83568
309.9806 98.76844 26.76359 79.44471
311.522 102.5512 32.50267 83.4542
316.7734 96.45067 21.25039 81.23057
298.8402 97.27812 25.34284 76.73444
291.4672 79.16433 10.44831 66.58841
