EID,Env,genotype,pod_yield_g,sh_pc,sw_g,X100_sw,uid
2,Chitedze,ICGV.SM.16559,126.3056055,47.98025974,62.19854028,27.90300465,302
2,Chitedze,ICGV.SM.16560,116.3365605,55.2843631,74.22552784,22.34300829,303
2,Chitedze,ICGV.SM.16562,176.4396102,67.8363637,139.5673459,28.93901965,304
2,Chitedze,ICGV.SM.16563,106.3467391,15.53619726,30.75232719,36.25990362,305
2,Chitedze,ICGV.SM.16565,130.4103844,68.48320604,105.2138182,24.12104172,306
2,Chitedze,ICGV.SM.16567,113.909116,44.76761703,46.56089365,25.37500658,307
2,Chitedze,ICGV.SM.16568,102.7480629,61.79288621,50.89335251,23.2699605,308
2,Chitedze,ICGV.SM.16571,104.6209952,62.63658612,52.12540166,28.95520319,309
2,Chitedze,ICGV.SM.16572,107.2368019,37.25622708,44.8067515,25.66099372,310
2,Chitedze,ICGV.SM.16575,153.7918305,64.08691268,101.1974166,25.57162055,311
2,Chitedze,ICGV.SM.16576,109.7253319,62.76295122,67.2363062,30.38432089,312
