Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
346.9927 135.3318 67.0411 129.9898
348.0759 138.6223 72.75018 123.0563
346.0583 140.3691 66.46702 122.1085
347.9654 141.7545 71.69797 125.5841
352.6029 144.7585 70.39006 120.4908
349.2641 137.5199 69.62429 125.7786
354.727 144.4989 66.88294 121.1746
339.7976 131.6592 64.14467 118.0206
343.9832 131.9444 60.44866 113.0068
328.0828 126.265 44.56231 101.3712
336.934 128.0616 54.52498 116.0778
355.5714 152.9844 80.1004 131.6237
358.7408 143.6204 74.95009 126.037
352.7509 147.4639 76.1523 129.0743
370.763 165.0027 90.17083 140.419
374.8975 162.7832 96.50499 139.3896
368.8762 157.4417 98.48519 150.4869
378.5981 164.1599 92.39111 149.1651
377.8257 165.4782 97.74055 149.4517
391.2191 180.0579 114.0612 164.672
401.6323 186.5652 112.7615 168.3508
408.1661 198.1198 125.3121 178.7186
402.8909 193.0596 119.8027 178.1145
391.8441 186.7336 117.3284 172.3617
394.0112 185.1353 112.4605 160.7692
393.6742 181.6847 112.4958 162.7794
389.9817 172.7952 104.8059 163.2035
394.1761 189.8119 111.8459 165.4894
389.9747 182.3979 120.0846 175.0579
387.8856 176.6839 105.4624 161.7048
388.0039 177.4526 111.2737 159.2441
389.9404 190.7636 116.3207 165.5378
390.9275 181.586 108.0776 161.7876
377.3413 162.6919 98.45122 148.8817
371.2679 165.1537 93.04539 145.0231
387.1528 173.5594 106.5516 155.6627
385.9712 178.5063 104.945 159.5583
392.2043 181.0429 109.4581 158.7673
380.1937 176.6364 105.9088 154.7958
379.0501 176.0975 101.0729 154.1482
380.4739 172.4678 99.99458 152.1857
386.7542 178.0028 110.1363 156.8544
380.8197 171.1914 108.7914 157.3455
390.0157 184.9133 110.1845 167.8209
392.1224 176.4812 107.2303 178.9028
381.6679 172.8988 106.0716 154.3199
380.8647 178.5907 99.63529 153.7715
385.8612 180.5028 100.2362 164.4628
372.8633 170.3282 97.24227 153.3283
383.9501 168.9855 92.84098 152.213
386.0795 170.5294 104.5357 156.9065
382.3202 175.6124 101.1193 155.3998
388.0048 173.0609 101.3607 160.2505
394.0287 181.862 101.7173 156.0749
389.631 170.738 104.2037 152.5872
379.2811 167.1694 95.67082 142.8668
375.1675 164.5065 88.68592 140.4519
358.0438 158.864 79.29802 133.1163
359.2496 152.2897 80.87797 137.1363
354.3112 142.719 70.87203 127.3409
339.8087 123.8663 60.96479 107.9855
331.4217 129.4835 53.26727 111.1197
340.0425 139.7353 60.23188 113.7509
348.2411 133.978 61.80505 114.0977
345.7049 143.5001 71.28049 122.9452
352.6159 147.1471 74.3636 123.2287
353.0737 143.7667 70.06175 125.3247
344.2266 137.4064 68.85904 117.3224
346.9378 139.5137 61.83755 120.4338
335.215 124.1678 57.80803 108.1616
340.2611 136.1564 68.99864 117.8118
348.5248 146.1559 73.05593 120.7596
345.514 135.3372 68.5464 113.2506
353.579 143.8621 74.90173 128.4028
361.8662 147.8543 81.59041 128.9091
364.9694 149.7871 75.51648 133.2855
360.7681 153.6035 81.70902 135.7766
362.5262 158.7039 83.05409 139.798
361.3274 158.5061 85.15308 141.6673
363.4062 147.5969 81.66085 129.9914
367.8968 155.3428 86.91362 132.4409
379.344 171.3757 96.39948 145.1922
376.6164 171.7477 101.8843 157.364
383.4089 188.2768 108.7606 168.7114
390.3941 180.824 104.6834 163.7717
384.7135 176.4103 101.2782 151.272
383.4524 166.7026 103.5933 154.8052
382.9161 175.1242 109.9277 163.476
389.1085 183.2468 109.5174 162.2194
379.4843 172.1712 102.9638 155.9682
389.0847 177.1652 101.8987 151.0484
372.9669 164.4835 90.89414 150.8102
374.9119 160.1668 90.42114 137.5424
372.1989 162.2624 97.3378 148.6172
380.8073 160.9296 97.98351 140.5136
375.7764 166.5026 99.96544 151.462
370.2875 164.055 85.44984 147.0904
379.1377 169.641 108.9063 156.509
386.1222 173.823 104.6225 161.8176
377.344 165.1281 94.41742 150.5478
366.3736 153.8442 81.93748 133.2127
362.4729 155.8308 84.16305 137.2564
356.6672 145.1302 83.13283 129.2501
352.8521 143.3734 78.54737 120.9666
353.6302 140.5201 66.49646 122.9552
372.0384 161.5251 83.89469 144.8978
362.2833 162.5445 79.33512 138.0969
