Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
158.4989 -51.97883 -129.6317 -76.81995
154.2391 -58.24094 -138.9959 -76.24565
151.9749 -58.72769 -131.7233 -78.16142
149.2643 -62.25924 -131.8432 -85.32157
156.0334 -60.69106 -125.1786 -77.42737
156.7815 -55.64297 -130.2546 -74.23032
163.7261 -43.84219 -114.8093 -60.63986
176.0005 -26.46166 -104.8704 -46.32554
188.0259 -30.92787 -101.0378 -49.82175
193.2223 -13.7898 -90.12569 -38.57173
191.4465 -15.26001 -92.89004 -33.58025
188.4538 -20.09478 -92.99284 -41.88261
190.2812 -25.19972 -97.07205 -48.93008
198.3099 -13.53077 -87.94236 -35.27973
203.2222 -13.05194 -82.20972 -34.30222
208.3005 -1.153065 -71.69809 -23.53666
218.6025 11.51988 -66.73879 -12.11234
225.8563 12.38574 -63.06367 -4.599285
211.0792 5.249849 -67.38024 -14.45147
212.4879 -4.205713 -69.09442 -20.36927
202.2451 -3.46615 -77.73782 -22.68658
206.9634 -5.635143 -75.46392 -18.78847
221.9236 12.75371 -59.07543 -14.2014
211.2729 2.37681 -68.45937 -12.98137
220.0384 10.68007 -63.24649 -4.124275
230.5849 18.88431 -57.67747 2.77776
231.3181 22.24047 -50.31766 2.205376
227.1331 18.23593 -63.17725 -1.113307
221.1444 14.73521 -62.52983 -4.373572
209.3182 -2.219119 -70.83411 -19.52946
215.804 -1.118804 -66.77676 -16.08401
205.1321 -2.037384 -75.49635 -21.12572
200.7477 -6.411785 -77.66227 -21.75767
200.9506 -11.67831 -83.86378 -28.08064
195.4529 -10.65343 -83.308 -31.8171
199.3639 -15.39235 -92.54782 -35.51773
197.3575 -16.22189 -84.57726 -31.39655
197.3311 -14.32039 -84.212 -30.88819
207.3207 -1.655506 -75.1949 -17.34824
215.6797 12.25107 -57.72092 -13.52309
218.8762 8.887116 -63.79789 -14.19567
210.1073 0.7205669 -69.10495 -12.06163
216.6914 -2.691533 -66.69546 -15.96647
215.1949 11.1897 -66.64214 -9.705536
220.8645 10.55135 -64.70347 -8.737437
221.6659 11.62467 -56.26548 -5.231058
222.6565 16.2835 -56.46877 -6.05491
230.9916 22.98703 -55.75841 4.77342
229.1667 17.0996 -61.08842 -4.268838
228.921 24.09597 -47.48056 -0.1075462
229.5245 22.5151 -51.25333 1.997675
236.4433 20.71493 -53.39026 1.938574
225.8452 14.18709 -55.05215 -8.499026
234.3535 22.83704 -42.25612 9.185656
237.2403 16.44927 -44.45667 9.886051
225.7011 11.77979 -54.93114 -3.87178
222.7267 14.30792 -55.71907 0.6500473
216.2916 -5.069678 -68.07409 -17.42329
223.0538 10.37254 -62.25663 -8.867571
228.1791 6.781076 -58.8189 -7.181706
226.6243 17.2574 -46.85479 4.471041
230.5197 19.62298 -46.81247 7.299037
245.3552 31.16282 -44.32356 8.749217
237.0386 25.11256 -48.68761 3.082694
225.9827 16.87876 -54.65823 1.702075
228.1605 17.73455 -50.87054 -1.023842
223.2283 11.15214 -62.64591 -6.245255
207.5205 2.598786 -74.92269 -22.46556
209.5942 -3.154781 -82.52698 -27.81217
197.5404 -20.85621 -87.77952 -33.75009
195.2094 -9.72389 -84.07134 -32.64848
199.0346 -4.312675 -76.34688 -27.351
198.7239 -9.218566 -77.99854 -26.44559
206.335 1.109449 -74.18131 -20.62144
198.2259 -14.68833 -82.59741 -28.69641
199.7922 -13.84498 -82.61235 -35.55294
206.9126 -2.919009 -68.88347 -21.05311
208.8336 1.913817 -76.20903 -20.93309
212.2322 4.868313 -62.17272 -18.25948
219.9812 3.208309 -63.64044 -15.19079
213.6009 -4.670752 -71.99986 -15.10082
205.6176 -7.548177 -82.93024 -33.02983
205.0422 -6.558257 -75.97405 -23.95458
210.6236 1.289307 -79.23501 -18.19765
208.9921 -2.143479 -75.6332 -21.68537
197.2456 -15.33391 -83.84198 -33.77404
197.0871 -16.03122 -86.72005 -33.40787
205.3147 -9.090203 -80.79656 -30.17071
209.5098 8.290757 -66.16851 -11.15338
215.6211 3.89326 -62.06451 -17.59075
211.7598 -2.998216 -71.34634 -20.49714
212.3704 4.229144 -75.60845 -18.12047
229.4785 13.53847 -56.48736 -7.317592
220.8309 12.3052 -61.76556 -7.163854
218.3635 10.52538 -65.989 -2.955294
236.2629 23.17747 -49.31612 7.423182
240.1242 28.45098 -45.21582 9.370213
247.7185 31.5956 -39.22959 10.61531
242.0779 32.74603 -36.5634 18.22882
250.8923 36.28428 -37.12131 18.27449
254.9396 41.04642 -34.07353 20.97432
240.0823 21.53111 -52.32474 7.66921
232.149 18.79637 -46.0849 2.618817
228.4517 17.55481 -59.67095 -4.081957
227.3806 20.37385 -55.0631 2.861241
229.1667 13.1068 -59.48444 -2.410921
223.0983 11.30874 -60.55112 -5.725888
223.0681 16.74951 -59.09445 -6.832079
218.6428 9.232686 -64.26715 -12.48769
206.9933 -8.783418 -82.73927 -25.96647
215.9576 8.531067 -65.71738 -9.327956
219.7328 6.475577 -54.20402 -4.944348
215.5094 11.99019 -65.86217 -14.84899
222.228 10.5098 -56.31098 -0.6558012
220.3636 10.69469 -56.84953 -8.652434
212.621 3.409284 -61.61425 -7.036009
222.5958 9.690252 -61.66214 -9.941949
210.7305 -2.223041 -72.83439 -15.04518
211.06 -5.808556 -72.31211 -23.38337
218.7735 0.3997483 -64.6639 -18.72803
204.2353 -5.120428 -78.13491 -28.92291
200.225 -11.75715 -85.18103 -29.44368
199.4533 -11.94817 -82.93157 -34.25737
202.7317 -4.79146 -82.17896 -27.42326
184.7053 -17.31962 -92.51875 -38.92359
195.2461 -11.60107 -85.86366 -35.43043
188.0739 -21.83806 -98.22885 -38.81499
189.3688 -24.1766 -95.66814 -40.96635
198.194 -19.02934 -97.70811 -38.2685
184.7534 -30.31173 -97.67965 -47.69552
177.8219 -28.71523 -100.5118 -47.1894
178.8591 -36.22084 -109.4242 -50.83499
171.0779 -40.28468 -118.0321 -62.97698
164.5842 -42.58273 -116.9462 -66.49298
170.2607 -47.2146 -116.8094 -62.40421
158.1197 -43.04076 -111.601 -68.69267
166.8028 -39.83255 -121.1803 -65.36717
165.1185 -42.2652 -113.9564 -64.37738
170.4367 -39.84408 -113.6043 -65.10225
156.0459 -55.13044 -118.3362 -64.48085
156.6144 -51.10002 -119.8216 -74.44422
174.3674 -32.44491 -107.4912 -63.76883
183.8305 -32.60253 -105.6713 -47.66541
184.7761 -17.13815 -93.58798 -36.79598
190.4561 -24.09392 -90.76033 -40.78593
192.343 -9.083739 -88.89958 -33.66596
197.5849 -10.28213 -82.3055 -27.629
203.4223 -4.000816 -74.27969 -28.47137
196.1871 -15.35027 -89.46397 -36.3583
190.2335 -16.89556 -96.03966 -37.87023
193.2506 -22.29224 -86.00594 -36.37013
181.6217 -16.64447 -87.00754 -34.833
195.8127 -28.50275 -92.23619 -36.56254
185.8954 -19.94642 -94.50249 -43.58082
188.7805 -22.22007 -92.18916 -41.19479
191.3435 -14.28432 -83.30143 -34.02563
196.7936 -17.99179 -82.54729 -34.6279
189.0005 -18.19526 -95.59491 -39.30974
189.532 -20.7252 -96.70866 -40.23907
193.0822 -22.92494 -85.62697 -37.05887
186.8133 -19.66397 -91.952 -41.78397
191.653 -14.53645 -93.59586 -28.98653
188.5277 -20.91355 -88.85664 -40.3272
188.0117 -20.54191 -96.51223 -34.91405
188.3069 -20.80966 -93.61458 -35.28194
180.021 -30.40929 -101.8303 -50.52713
171.8347 -33.10406 -107.328 -50.23769
186.3316 -22.82454 -95.80802 -44.6548
187.4583 -30.38868 -103.0596 -46.47022
182.9668 -29.06504 -99.83034 -48.27964
195.835 -20.89241 -96.21398 -34.07027
198.3932 -5.842013 -83.08066 -32.20045
206.4005 -6.765519 -77.58377 -26.39209
215.983 1.769555 -66.13778 -12.27032
223.0024 9.78523 -71.20943 -7.316077
231.2401 14.51479 -54.89713 -0.9614932
227.058 19.28562 -54.48871 -0.987321
230.7406 14.3073 -51.90712 -7.403493
238.0732 15.34589 -53.41512 2.496681
218.7184 13.18565 -53.41083 -0.8066743
230.7162 17.14092 -53.54906 -3.730289
240.2165 25.66649 -46.53607 9.774643
246.2016 34.88078 -37.7499 16.69952
